Deerfield North/South/East,,,,,,,,,
hole,front_lat,front_lon,mid_lat,mid_lon,back_lat,back_lon,par,distance from whites,handicap
1,43.24907424,-77.86538279,43.24908058,-77.86557055,43.24907424,-77.86576232,5,437,17
2,43.25106408,-77.8693645,43.25109827,-77.86952275,43.25113343,-77.86968838,4,339,3
3,43.25011784,-77.87523938,43.25014421,-77.87539361,43.25017254,-77.87554717,4,400,7
4,43.25195069,-77.87662834,43.2520579,-77.87668257,43.25216793,-77.87672595,3,166,15
5,43.25087183,-77.87089012,43.25088943,-77.87075088,43.25092151,-77.87065284,5,526,5
6,43.25155324,-77.86753438,43.25151448,-77.86739388,43.25145401,-77.86722996,4,362,9
7,43.25164119,-77.86308987,43.25159944,-77.86294394,43.25154629,-77.86282147,4,364,1
8,43.25050349,-77.86370432,43.25045282,-77.86381215,43.25038188,-77.86394955,3,146,13
9,43.24937854,-77.86033694,43.24936334,-77.86017694,43.24933293,-77.86000824,4,370,11
10,43.24668817,-77.85542919,43.24664617,-77.85526758,43.24658218,-77.85507715,4,372,14
11,43.24706836,-77.85901523,43.24709792,-77.85914067,43.24713644,-77.859303,4,358,16
12,43.24579744,-77.85747542,43.24574961,-77.8573285,43.24571493,-77.85715449,3,176,12
13,43.24680711,-77.86136041,43.24689849,-77.86151045,43.24700777,-77.86167032,4,351,2
14,43.24764056,-77.86542454,43.24765334,-77.86558541,43.24770235,-77.86574336,4,390,6
15,43.24467709,-77.86447783,43.24458094,-77.86441503,43.24446541,-77.86433094,4,372,8
16,43.24626229,-77.86998259,43.24630183,-77.87013161,43.24633982,-77.8702785,5,486,4
17,43.24779275,-77.86857895,43.24789159,-77.86847522,43.24798732,-77.86836866,3,165,10
18,43.24815804,-77.86107235,43.24814729,-77.86092081,43.24813411,-77.86081218,5,432,18
19,43.25114118,-77.85605232,43.25124521,-77.85590077,43.25130479,-77.85574252,4,374,5
20,43.2516796,-77.85514855,43.25174407,-77.85495006,43.25183833,-77.85474152,3,141,9
21,43.24871874,-77.85738502,43.24865178,-77.85748187,43.24859798,-77.85759842,5,491,2
22,43.25148296,-77.85390176,43.25157809,-77.85387162,43.25166224,-77.8538465,4,432,1
23,43.25186823,-77.85179539,43.25184674,-77.85164384,43.25182232,-77.85151711,3,149,8
24,43.2488001,-77.85310734,43.24873919,-77.85317867,43.24865767,-77.85330411,5,442,3
25,43.25135772,-77.85242603,43.25146174,-77.85243424,43.25156576,-77.85243424,4,350,6
26,43.24870095,-77.85579292,43.24864967,-77.85588478,43.2485852,-77.8559961,5,442,4
27,43.24813869,-77.85885296,43.24812843,-77.85900518,43.24811573,-77.85917952,3,178,7
