Durand Eastman,,,,,,,,,
hole,front_lat,front_lon,mid_lat,mid_lon,back_lat,back_lon,par,distance from whites,handicap
1,43.2362382,-77.5649729,43.2362807,-77.56489216,43.23633039,-77.56481875,4,371,9
2,43.23263945,-77.56694513,43.23258571,-77.56704169,43.2325222,-77.56713423,4,429,1
3,43.23150686,-77.5664626,43.23149318,-77.56638079,43.23146875,-77.56627954,4,254,15
4,43.22773905,-77.5641418,43.22764367,-77.56412593,43.22754375,-77.5641327,5,460,5
5,43.22761889,-77.56613817,43.22760276,-77.56625753,43.22757491,-77.56637354,3,123,17
6,43.22696323,-77.5702454,43.22692256,-77.57035211,43.22685678,-77.57046045,4,347,11
7,43.2300111,-77.57002939,43.23008927,-77.57010248,43.23016793,-77.57017758,4,371,7
8,43.22954056,-77.56887413,43.22948877,-77.56882183,43.229436,-77.56876617,3,176,13
9,43.23263468,-77.56864286,43.232728,-77.5686261,43.23280714,-77.56860397,4,397,3
10,43.23382385,-77.57495806,43.23377402,-77.57508681,43.23371002,-77.57521086,4,424,2
11,43.2320474,-77.57800448,43.23202928,-77.57816398,43.23200494,-77.57833033,4,380,8
12,43.23356892,-77.5804659,43.23363188,-77.58060153,43.23368604,-77.58071707,3,170,12
13,43.23338743,-77.57533383,43.23345289,-77.57521112,43.23350859,-77.57511389,4,421,4
14,43.23581903,-77.57353096,43.23589677,-77.57344068,43.23596494,-77.57335531,4,340,10
15,43.23777835,-77.5725684,43.23780705,-77.57245431,43.23783217,-77.57235007,4,330,16
16,43.23726293,-77.57002707,43.23721798,-77.56989296,43.23718965,-77.56977561,4,242,14
17,43.23894408,-77.56938711,43.2390154,-77.56934955,43.23907108,-77.56928652,3,127,18
18,43.23534935,-77.56864304,43.23529327,-77.56861798,43.23522058,-77.56862921,5,421,6
