Eagle Vale,,,,,,,,,
hole,front_lat,front_lon,mid_lat,mid_lon,back_lat,back_lon,par,distance from whites,handicap
1,43.11506569,-77.44072239,43.11493124,-77.44078491,43.11484614,-77.44087108,4,391,4
2,43.11653402,-77.43600497,43.11662869,-77.43591024,43.11670031,-77.43576928,5,458,8
3,43.11703919,-77.43394603,43.11710505,-77.43381521,43.11715773,-77.4336889,3,130,18
4,43.11561783,-77.43839933,43.11555678,-77.43851494,43.11547778,-77.43863915,5,484,6
5,43.1170951,-77.4376043,43.11718118,-77.43758219,43.11725516,-77.43753797,3,144,16
6,43.11903551,-77.43293901,43.1190768,-77.43275454,43.11907949,-77.43257622,4,366,10
7,43.11849074,-77.4369145,43.11839379,-77.43698091,43.11829145,-77.43708298,4,396,2
8,43.11560688,-77.43918838,43.11549928,-77.43922524,43.11539974,-77.43926946,4,342,14
9,43.11797092,-77.4393137,43.1180691,-77.43924183,43.11816594,-77.43915155,4,345,12
10,43.11983685,-77.43298685,43.11983027,-77.43281318,43.11982368,-77.43261921,5,463,17
11,43.1193171,-77.42773645,43.11936898,-77.42764123,43.11941597,-77.42752053,4,341,7
12,43.11730512,-77.42380624,43.11727713,-77.42359259,43.11724354,-77.42340086,4,397,3
13,43.11890218,-77.42711935,43.11898127,-77.42729008,43.11904597,-77.42742304,4,352,11
14,43.11886704,-77.42554941,43.11879873,-77.42539511,43.11870527,-77.42527035,3,167,15
15,43.12035825,-77.42446093,43.12041895,-77.42434158,43.12049726,-77.42423965,4,342,5
16,43.1202664,-77.42816167,43.12020767,-77.42831456,43.12011957,-77.42846744,4,371,1
17,43.11970449,-77.4308634,43.11963178,-77.43099991,43.11956356,-77.43117208,3,189,9
18,43.11985552,-77.43917965,43.11983202,-77.43933522,43.11977574,-77.43951023,5,457,13
