Farview,,,,,,,,,
hole,front_lat,front_lon,mid_lat,mid_lon,back_lat,back_lon,par,distance from whites,handicap
1,42.88433052,-77.76057935,42.8844007,-77.76038684,42.88446532,-77.76026261,4,419,7
2,42.88352562,-77.76450801,42.88351626,-77.76467168,42.88350265,-77.76480749,4,374,1
3,42.88329289,-77.76087077,42.88334455,-77.760698,42.88334228,-77.76057947,4,407,17
4,42.8846572,-77.75975125,42.88481562,-77.75967824,42.8849393,-77.75959099,3,182,15
5,42.88495469,-77.76498529,42.8851013,-77.76510762,42.8851694,-77.76527073,5,428,9
6,42.88178446,-77.7670295,42.8816698,-77.76709019,42.88149052,-77.76710631,4,254,3
7,42.88238065,-77.76267371,42.88249461,-77.76262345,42.88259884,-77.76253431,5,505,5
8,42.88129761,-77.76511747,42.88121936,-77.76523355,42.88115641,-77.76533918,4,203,11
9,42.88377753,-77.76562795,42.88391022,-77.76558616,42.88402504,-77.76553509,4,408,13
10,42.8873908,-77.76452211,42.88743285,-77.76429253,42.8874252,-77.76408383,5,421,10
11,42.88766528,-77.76091769,42.88764146,-77.76075866,42.88763296,-77.76062285,4,307,12
12,42.88704698,-77.75845791,42.88693685,-77.75842227,42.88683809,-77.75836107,4,272,2
13,42.8856072,-77.7573505,42.88551922,-77.75724358,42.88544883,-77.75716534,3,149,4
14,42.8865938,-77.75985277,42.88663037,-77.75995028,42.88669076,-77.76003037,4,296,6
15,42.88731199,-77.76264858,42.8873392,-77.76275769,42.88734856,-77.76286449,4,285,8
16,42.88581454,-77.76020616,42.88581,-77.76008221,42.88580433,-77.75987768,4,348,16
17,42.88505996,-77.75852159,42.88498631,-77.75843719,42.88490223,-77.75833193,3,154,18
18,42.8859082,-77.76499486,42.88580262,-77.76506459,42.88566525,-77.76514516,5,504,14
