Genesee Valley North,,,,,,,,,
hole,front_lat,front_lon,mid_lat,mid_lon,back_lat,back_lon,par,distance from whites,handicap
1,43.11325728,-77.65724386,43.11323329,-77.65733371,43.11320049,-77.65741954,5,492,1
2,43.11031967,-77.65983721,43.11028149,-77.6599398,43.11020903,-77.66003703,4,287,15
3,43.10958522,-77.65667558,43.10955145,-77.65658774,43.1095054,-77.65650303,4,330,13
4,43.10832787,-77.65842354,43.10829791,-77.65851793,43.10826315,-77.65860739,3,146,17
5,43.10538528,-77.65985429,43.10532409,-77.65988245,43.10525114,-77.65992135,5,456,5
6,43.1061613,-77.65809205,43.1062176,-77.65803639,43.10627439,-77.65796263,3,217,9
7,43.10946907,-77.65612363,43.10954158,-77.65609326,43.1096027,-77.65605551,4,398,3
8,43.11297292,-77.65532631,43.11303324,-77.65531535,43.11308983,-77.65530803,4,393,7
9,43.11386647,-77.65243602,43.1138606,-77.6523294,43.11384249,-77.6522087,3,197,11
10,,,,,,,4,413,6
11,,,,,,,4,348,12
12,,,,,,,3,164,16
13,,,,,,,5,467,2
14,,,,,,,4,408,8
15,,,,,,,5,500,4
16,,,,,,,4,410,10
17,,,,,,,4,310,14
18,,,,,,,3,150,18
