Genesee Valley South,,,,,,,,,
hole,front_lat,front_lon,mid_lat,mid_lon,back_lat,back_lon,par,distance from whites,handicap
1,43.11046532,-77.65533725,43.11042077,-77.6553567,43.11036888,-77.65537413,4,370,5
2,43.10771134,-77.65640566,43.10763742,-77.6564412,43.10756496,-77.6564935,4,333,15
3,43.10570783,-77.65749933,43.10564796,-77.65754011,43.10557355,-77.65758437,3,222,7
4,43.10487047,-77.65920312,43.1048453,-77.6592893,43.10481714,-77.65938616,3,180,11
5,43.10469513,-77.65688307,43.10469633,-77.65680345,43.10470711,-77.65672712,4,250,17
6,43.10595872,-77.65278657,43.10594991,-77.6526994,43.10595089,-77.65261625,4,378,1
7,43.10632505,-77.6561708,43.10633142,-77.6562573,43.10632701,-77.65636794,4,338,9
8,43.10812564,-77.65180597,43.10812923,-77.6517248,43.10812833,-77.65164732,4,331,13
9,43.11323937,-77.64905515,43.11328588,-77.6490357,43.11333434,-77.64900553,4,444,3
10,,,,,,,4,307,6
11,,,,,,,3,115,18
12,,,,,,,4,377,16
13,,,,,,,3,156,8
14,,,,,,,3,155,10
15,,,,,,,4,385,2
16,,,,,,,4,307,12
17,,,,,,,4,305,14
18,,,,,,,4,385,4
