Greystone,,,,,,,,,
hole,front_lat,front_lon,mid_lat,mid_lon,back_lat,back_lon,par,distance from whites,handicap
1,43.1563736,-77.30946176,43.15624592,-77.30937794,43.15610211,-77.3092673,5,510,9
2,43.15897139,-77.31227157,43.15911628,-77.31231836,43.15924262,-77.31239962,4,363,11
3,43.15779875,-77.31235578,43.15771193,-77.31223595,43.15759697,-77.31210134,3,150,17
4,43.15346394,-77.31217996,43.15333525,-77.31220844,43.15318978,-77.3122676,4,385,1
5,43.15355053,-77.30656375,43.1535383,-77.30640148,43.15352949,-77.30621775,4,332,7
6,43.15414548,-77.30601987,43.15429664,-77.30594544,43.15445856,-77.30591259,3,115,15
7,43.15382463,-77.3109244,43.15375824,-77.31106951,43.15371607,-77.3112466,4,339,3
8,43.1553696,-77.30813405,43.15547232,-77.30802341,43.15555988,-77.30789265,4,287,13
9,43.16021023,-77.31072492,43.16066121,-77.31087703,43.16107957,-77.31101251,5,494,5
10,43.16327577,-77.31581235,43.16343274,-77.31587384,43.16359062,-77.31590459,4,318,16
11,43.1628339,-77.30945504,43.16277668,-77.30930953,43.16270526,-77.30913116,4,406,2
12,43.16342103,-77.30371718,43.16341027,-77.30359313,43.16341223,-77.3034161,5,461,8
13,43.1627882,-77.3049361,43.16274907,-77.30510777,43.16269723,-77.30527138,3,158,14
14,43.15974691,-77.30636106,43.15963551,-77.30635603,43.15946842,-77.30637412,4,361,12
15,43.15664798,-77.30547233,43.15657434,-77.30544442,43.15650728,-77.30542883,4,382,10
16,43.16077109,-77.30859963,43.16084544,-77.30875117,43.16096136,-77.30886919,5,518,6
17,43.16204415,-77.3070666,43.16208886,-77.3069169,43.16220318,-77.30676218,3,136,18
18,43.16130387,-77.31109283,43.16125812,-77.31119859,43.16121417,-77.3113105,4,318,4
