Lakeshore,,,,,,,,,
hole,front_lat,front_lon,mid_lat,mid_lon,back_lat,back_lon,par,distance from whites,handicap
1,43.26147798,-77.62393245,43.26146294,-77.62392038,43.26136908,-77.62396334,4,389,7
2,43.26052413,-77.6259727,43.26054763,-77.62615192,43.26056764,-77.62630964,3,167,13
3,43.26396061,-77.6261703,43.26407327,-77.6260762,43.26419115,-77.62604909,5,492,11
4,43.26057184,-77.62765073,43.2604942,-77.62767688,43.26041118,-77.62770035,5,485,3
5,43.25958247,-77.62636693,43.25952973,-77.62623214,43.25950433,-77.62613894,3,146,17
6,43.25870417,-77.62256049,43.25867829,-77.62241632,43.25862067,-77.62225941,4,320,5
7,43.26126534,-77.623362,43.26138791,-77.62332914,43.26149388,-77.62327013,4,326,1
8,43.26191827,-77.62206596,43.26200568,-77.62197945,43.26207454,-77.62190234,3,132,15
9,43.2644383,-77.62394926,43.26451789,-77.62401564,43.26459601,-77.62407264,4,347,9
10,43.26268124,-77.6207031,43.26262313,-77.62060386,43.26256551,-77.62051334,4,399,10
11,43.26123027,-77.62165854,43.26114969,-77.62170078,43.2610701,-77.62175107,3,159,14
12,43.2583303,-77.62071671,43.25823458,-77.62069659,43.25813301,-77.62069123,4,285,6
13,43.259921,-77.61698095,43.25991734,-77.61686541,43.25991002,-77.6167348,5,469,18
14,43.2606787,-77.6207456,43.26068358,-77.62087032,43.26068993,-77.62099102,4,384,4
15,43.26188185,-77.62083009,43.26196828,-77.62081065,43.26207082,-77.62081266,3,115,16
16,43.26052971,-77.61635625,43.26051068,-77.61623569,43.26049386,-77.6161091,4,413,2
17,43.26240938,-77.61985621,43.2624504,-77.61997825,43.26249337,-77.62008554,4,316,8
18,43.26509859,-77.62327239,43.26517085,-77.62337431,43.26522017,-77.62345478,5,495,12
