Shadow Lake,,,,,,,,,
hole,front_lat,front_lon,mid_lat,mid_lon,back_lat,back_lon,par,distance from whites,handicap
1,43.14445655,-77.4720921,43.14437044,-77.47209479,43.1442902,-77.47209814,5,489,8
2,43.14797696,-77.47409514,43.148104,-77.47410674,43.14824289,-77.47412067,4,382,2
3,43.14858983,-77.4726804,43.14860226,-77.4725425,43.14860565,-77.47239995,3,139,18
4,43.14490372,-77.47292796,43.14479332,-77.47292274,43.14467785,-77.47291404,5,478,10
5,43.14332759,-77.4710081,43.14328608,-77.47086586,43.14327362,-77.47068947,4,328,12
6,43.14575724,-77.46970327,43.1458464,-77.46968622,43.14594385,-77.46966207,4,298,14
7,43.14375319,-77.4704026,43.14365574,-77.47040828,43.1435417,-77.47040828,4,314,6
8,43.14768371,-77.47054455,43.14778473,-77.47054455,43.14786429,-77.470518,4,380,4
9,43.14862999,-77.47075347,43.14867793,-77.47089696,43.14872294,-77.47102169,3,130,16
10,43.14674787,-77.4688297,43.14665578,-77.46889143,43.14659126,-77.46896543,5,445,9
11,43.14864795,-77.46613645,43.14872341,-77.46604945,43.14880006,-77.465937,4,381,5
12,43.14635238,-77.46711163,43.14630101,-77.46715187,43.14624181,-77.46721423,4,345,7
13,43.14862019,-77.46484626,43.14874235,-77.46486103,43.14884296,-77.46485118,4,374,3
14,43.14903832,-77.46741376,43.14904223,-77.4675158,43.14907293,-77.46763574,4,300,13
15,43.15022596,-77.46854022,43.15029453,-77.46868522,43.15037289,-77.4688526,3,133,17
16,43.15312666,-77.4694258,43.15318854,-77.46939216,43.15326109,-77.46936145,4,382,1
17,43.14995561,-77.47422407,43.14985512,-77.47419947,43.14975374,-77.47422899,3,150,15
18,43.14928053,-77.47159031,43.14927155,-77.47145242,43.1492488,-77.47132766,4,322,11
